Position,Company Name,Location,,,,,,,,
QA Inspector,WestRock Company,"Garland, TX",,,,,Labcorp Drug Development  logo,,,
QA Compliance Auditor,Labcorp Drug Development,"Dallas, TX",,,,,,,,
GCP QA Auditor,Medpace,"Irving, TX",,,,,,,,
QA Automation Engineer,Albertsons Companies,"Arlington, TX",,,,,ClearanceJobs logo,,,
Human Resources (HR)/Staffing Professional with Security Clearance,ClearanceJobs,"Fort Worth, TX",,,,,,,,
Online Product Tester Jobs - Remote Job,2&GO,"Dallas, TX",,,,,,,,
QA Automation Analyst,Dice,"Dallas, TX",,,,,6 applicants,Texas Capital Bank logo,,
Lead QA Engineer - Test Automation,Texas Capital Bank,"Richardson, TX",,,,,Cottonwood Financial logo,,,
Data QA Analyst,Cottonwood Financial,"Irving, TX",,,,,Copart logo,,,
Software QA Engineer,Copart,"Dallas, TX",,,,,,,,
QA Project Lead,MZ,"Dallas, TX",,,,,,,,
Shared Services Support Specialist (Remote),Paycor,United States,,,,,Walmart logo,,,
Administration and Clerical,Walmart,"DeSoto, TX",,,,,Cognizant logo,,,
WMS QA Analyst,Cognizant,"Dallas, TX",,,,,,,,
QA Software Engineer/SDET (Dallas),Dematic,"Fort Worth, TX",,,,,,,,
QA Specialist - Servicing (Hybrid),Octane,"Irving, TX",,,,,Lennox International logo,,,
IT Automation QA Lead,Lennox International,"Richardson, TX",,,,,Mindtree logo,,,
Python Automation QA Lead,Mindtree,"Dallas, TX",,,,,Cerebral logo,,,
Sr. Technical Recruiter,Cerebral,"Dallas, TX",,,,,1 applicant,2&amp;GO logo,,
Product Tester At Home Jobs - Remote Job,2&GO,"Dallas, TX",,,,,,,,
QA Analyst III (Salesforce CRM),Exeter Finance,"Irving, TX",,,,,Sabre Corporation logo,,,
Contributor Software QA Engineering,Sabre Corporation,"Dallas, TX",,,,,VMLY&amp;R logo,,,
QA Analyst,VMLY&R,"Frisco, TX",,,,,"Teaching Strategies, LLC logo",,,
QA Engineer (Remote),"Teaching Strategies, LLC","Dallas, TX",,,,,Bank of America logo,,,
Business Control Specialist - QA Commercial Loans,Bank of America,"Richardson, TX",,,,,,,,
QA Compliance Lead Auditor (GCP),Labcorp Drug Development,"Dallas, TX",,,,,Dice logo,,,
Remote Senior QA Automation Test Engineers,Dice,"Dallas, TX",,,,,,,,
WORKLEADER I QA- 3rd Shift,McCormick & Company,"Irving, TX",,,,,1 applicant,Alcon logo,,
"QA Technician-3rd Shift, Sunday-Thursday",Alcon,"Fort Worth, TX",,,,,Walmart logo,,,
Administration and Clerical,Walmart,"Sanger, TX",,,,,ITHAKA logo,,,
Talent Acquisition Partner (remote),ITHAKA,United States,,,,,Cognizant logo,,,
QA Tester with Oracle HCM,Cognizant,"Dallas, TX",,,,,,,,
QA Intern,Copart,"Dallas, TX",,,,,,,,
Sr. GCP QA Auditor - Remote,Medpace,"Irving, TX",,,,,Texas Capital Bank logo,,,
QA Engineer - Functional/Integration,Texas Capital Bank,"Richardson, TX",,,,,Cottonwood Financial logo,,,
QA Automation Engineer II,Cottonwood Financial,"Irving, TX",,,,,Bank of America logo,,,
App Test - Jr Manual Test Analyst,Bank of America,"Plano, TX",,,,,,,,
Product Tester Jobs At Home - Remote Job,2&GO,"Dallas, TX",,,,,Bank of America logo,,,
App Test - Senior QA Analyst,Bank of America,"Plano, TX",,,,,,,,
"QA Tester, Connected Vehicle","DMI (Digital Management, LLC)","Plano, TX",,,,,PwC logo,,,
QA - Test Lead - Senior Associate,PwC,"Dallas, TX",,,,,,,,
"Principal Specialist, Software QA",Abbott,"Irving, TX",,,,,10 applicants,Siemens Digital Industries Software logo,,
Software QA Engineer (Remote),Siemens Digital Industries Software,"Dallas, TX",,,,,22 applicants,Experian logo,,
Learning and Development Specialist II -BAT,Experian,"Allen, TX",,,,,Walmart logo,,,
Administration and Clerical,Walmart,"Fort Worth, TX",,,,,Centerbase logo,,,
Manual QA Test Engineer,Centerbase,Dallas-Fort Worth Metroplex,,,,,Orchestra Technology (L&amp;T Technology services) logo,,,
Software QA Engineer 1,Orchestra Technology (L&T Technology services),"Plano, TX",,,,,,,,
QA Data Analyst,Risk Strategies Company,"Dallas, TX",,,,,McKesson logo,,,
Call Center QA Specialist,McKesson,"Dallas, TX",,,,,,,,
Junior Program Manager,Collabera Inc.,"Irving, TX",,,,,,,,
Experienced Quality Assurance (QA) Auditor - Global Inspections and Sponsor Audits,Medpace,"Irving, TX",,,,,Omnicell logo,,,
"SDET/QA Automation Engineer (Engineer III, Software Test)",Omnicell,"Plano, TX",,,,,,,,
"QA Engineer (VP) - CWMD, Consumer Engineering, Agent",Goldman Sachs,"Richardson, TX",,,,,,,,
QA Automation Engineer,Axxess,"Dallas, TX",,,,,,,,
Rep II Benefits Setup,CVS Health,"Irving, TX",,,,,9 applicants,CVS Health logo,,
Rep II Benefits Setup,CVS Health,"Irving, TX",,,,,Cognizant logo,,,
WMS QA Lead,Cognizant,"Plano, TX",,,,,,,,
QA Lead with API/Web service testing || 100% Remote || Full Time,Dice,"Dallas, TX",,,,,Qualitest logo,,,
#2013 - Lead QA Engineer (Salesforce Service Cloud),Qualitest,"Dallas, TX",,,,,Easy Apply,Copart logo,,
QA Intern - OPS,Copart,"Dallas, TX",,,,,,,,
Salesforce QA Engineer,Bankers Healthcare Group,"Dallas, TX",,,,,Stryker logo,,,
Senior Compliance Training Analyst (Remote),Stryker,"Flower Mound, TX",,,,,,,,
Online Learning Systems Administrator,Formation Ventures,United States,,,,,Easy Apply,Labcorp Drug Development  logo,,
Sr QA Compliance Auditor (GCP),Labcorp Drug Development,"Dallas, TX",,,,,FleetPride logo,,,
QA Analyst,FleetPride,"Irving, TX",,,,,Collibra logo,,,
Senior QA Engineer,Collibra,"Dallas, TX",,,,,,,,
QA Team Lead,Texas Capital Bank,"Richardson, TX",,,,,Softworld logo,,,
QA Tester,Softworld,"Plano, TX",,,,,Talentify.io logo,,,
Quality Analyst - Healthcare Call Center,Talentify.io,United States,,,,,Raising Cane&#39;s Chicken Fingers logo,,,
Customer Relations Representative II,Raising Cane's Chicken Fingers,"Plano, TX",,,,,,,,
Sr. QA Automation Engineer (Mobile),MZ,"Dallas, TX",,,,,,,,
Senior QA Engineer,GTN Technical Staffing and Consulting,"Irving, TX",,,,,"Fiesta Mart, Inc. logo",,,
Food Safety & QA Field Specialist - Bilingual (Spanish/English),"Fiesta Mart, Inc.","Dallas, TX",,,,,CGI logo,,,
Software QA Test Analyst,CGI,"Dallas, TX",,,,,,,,
Senior QA Automation Specialist,Bank of America,"Plano, TX",,,,,,,,
"QA Engineer (AN) - CWMD, Consumer Engineering, Agent",Goldman Sachs,"Richardson, TX",,,,,,,,
QA Associate Director-GCP experience (Negotiable with work location),Labcorp Drug Development,"Dallas, TX",,,,,,,,
Jr. Software QA Engineer,Copart,"Dallas, TX",,,,,Qualitest logo,,,
#2110 - QA Automation Engineer (Remote),Qualitest,"Irving, TX",,,,,Easy Apply,ClearanceJobs logo,,
Quality Engineer Associate - Entry Level with Security Clearance,ClearanceJobs,"Grand Prairie, TX",,,,,,,,
Clinical Quality Analysts - Remote,Optum,"Dallas, TX",,,,,,,,
Remote - Mobile QA Engineer,CyberCoders,"Dallas, TX",,,,,Easy Apply,Walmart logo,,
Administration and Clerical,Walmart,"Cleburne, TX",,,,,2 applicants,Dice logo,,
WMS QA Tester,Dice,"Dallas, TX",,,,,0 applicants,Dice logo,,
QA Analyst (Full Time Onsite role),Dice,"Northlake, TX",,,,,Walmart logo,,,
Administration and Clerical,Walmart,"Terrell, TX",,,,,{:companyName} logo,,,
Call Center Representative - Remote position,"Dallas, TX",Remote,,,,,,,,
Customer Support Trainer,Binance.US,United States,,,,,,,,
Operations - Regulatory Reporting - Associate - Dallas,Goldman Sachs,"Dallas, TX",,,,,,,,
"Operations Associate, Process Design & Strategy (Remote)",Oscar Health,"Dallas, TX",,,,,Eyemart Express logo,,,
"Distribution Center Associate - Full-time (3rd shift) - Farmers Branch, TX - #998",Eyemart Express,"Dallas, TX",,,,,0 applicants,Optum logo,,
"Associate Business Systems Analyst / QA Tester - Fort Worth, TX",Optum,"Fort Worth, TX",,,,,1 week ago,14 applicants,National General Insurance logo,
Call Center Quality Assurance Specialist (REMOTE),National General Insurance,"Dallas, TX",,,,,A-LIGN logo,,,
Reporting Specialist,A-LIGN,United States,,,,,17 applicants,Tally logo,,
Junior Business Operations Associate,Tally,United States,,,,,,,,
IT Support Analyst I,Raising Cane's Chicken Fingers,"Plano, TX",,,,,0 applicants,{:companyName} logo,,
Customer Service for Covid Testing Site,"Dallas, TX",On-site,,,,,,,,
Program Performance Specialist - Call Center,Working Solutions,"Dallas, TX",,,,,,,,
Inbound Documentation Coordinator,"Plano, TX",On-site,,,,,Pacific Dental Services logo,,,
Learning Operations Coordinator,Pacific Dental Services,"Irving, TX",,,,,,,,
"QA Engineer (VP) - CWMD, Consumer Engineering",Goldman Sachs,"Richardson, TX",,,,,,,,
"Technical Support Representative - San Jose, CA or Dallas, TX",Stryker,"Dallas, TX",,,,,5 applicants,Samsung Electronics America logo,,
Sr. Payroll Analyst,Samsung Electronics America,"Plano, TX",,,,,,,,
QA Automation Analyst (Junior/Mid),Dice,United States,,,,,CTDI logo,,,
Billing Analyst,CTDI,"Flower Mound, TX",,,,,Samsung Electronics America logo,,,
"Coordinator, Demand Fulfillment",Samsung Electronics America,"Plano, TX",,,,,AIIR Consulting logo,,,
Leadership Solutions Designer,AIIR Consulting,United States,,,,,14 applicants,Easy Apply,"LanceSoft, Inc. logo",
QA Test Analyst,"LanceSoft, Inc.","Allen, TX",,,,,VetJobs logo,,,
Salesforce Associate Administrator - Remote CONUS,VetJobs,United States,,,,,Samsung Electronics America logo,,,
"Coordinator, Demand Fulfillment",Samsung Electronics America,"Plano, TX",,,,,Working Solutions logo,,,
Program Performance Specialist - Call Center,Working Solutions,"Dallas, TX",,,,,15 applicants,Yelp logo,,
"User Operations, Quality Associate (Remote)",Yelp,United States,,,,,Dice logo,,,
Test Analyst - TDM Analyst,Dice,"Dallas, TX",,,,,2&amp;GO logo,,,
Product Testing Jobs - Remote Job,2&GO,"Dallas, TX",,,,,,,,
Technician - Quality Control,Freeman Company,"Dallas, TX",,,,,,,,
Customer Care Center Representative I,Inogen,"Plano, TX",,,,,0 applicants,Texas Health Resources logo,,
Quality Document Improvement Specialist,Texas Health Resources,"Dallas, TX",,,,,1 applicant,id Software logo,,
Associate Producer,id Software,"Richardson, TX",,,,,"LanceSoft, Inc. logo",,,
QA Test Analyst,"LanceSoft, Inc.","Allen, TX",,,,,4 applicants,Dice logo,,
QA Analyst,Dice,United States,,,,,Texas Capital Bank logo,,,
High Risk Customer Surveillance Analyst,Texas Capital Bank,"Richardson, TX",,,,,Alcon logo,,,
QA Tech I,Alcon,"Fort Worth, TX",,,,,Revision Skincare® logo,,,
Quality Associate I,Revision Skincare®,"Irving, TX",,,,,,,,
"Compliance, Consumer Compliance, Associate",Goldman Sachs,"Richardson, TX",,,,,Corban OneSource logo,,,
Remote ADP Payroll Administrator,Corban OneSource,United States,,,,,,,,
Real Product Testing Jobs - Remote Job,2&GO,"Dallas, TX",,,,,,,,
Business Analytics Analyst,Aimbridge Hospitality,"Plano, TX",,,,,5 applicants,Cognizant logo,,
Entry-level Quality Engineer,Cognizant,"Dallas, TX",,,,,,,,
Quality Document Improvement Specialist,Texas Health Resources,"Dallas, TX",,,,,3 applicants,Oracle logo,,
Associate Paid Social Manager - REMOTE,Oracle,United States,,,,,,,,
Product Testing Jobs From Home - Remote Job,2&GO,"Dallas, TX",,,,,,,,
"Distribution Center Associate - (1st Shift)- Farmers Branch, TX - #998",Eyemart Express,"Dallas, TX",,,,,0 applicants,Firstsource logo,,
Quality Analyst,Firstsource,"Dallas, TX",,,,,,,,
Alternative Investments Business Oversight Associate,Bank of America,"Dallas, TX",,,,,,,,
Quality Assurance Analyst (QA Analyst),Collabera Inc.,"Addison, TX",,,,,,,,
Business Solutions BSA,Deloitte,"Dallas, TX",,,,,Hilti North America logo,,,
Quality Assurance Intern,Hilti North America,"Plano, TX",,,,,,,,
Data Visualization Analyst - Manufacturing (Remote),Siemens,"Grand Prairie, TX",,,,,BIOWORLD MERCHANDISING logo,,,
Sample Coordinator,BIOWORLD MERCHANDISING,"Irving, TX",,,,,"LanceSoft, Inc. logo",,,
Procurement Specialist,"LanceSoft, Inc.","Plano, TX",,,,,0 applicants,Streamline VRS | Vacation Rental Software logo,,
Client Onboarding Lead,Streamline VRS | Vacation Rental Software,United States,,,,,Sysco logo,,,
Report Analyst - HR Customer Support,Sysco,United States,,,,,Press Ganey logo,,,
Survey Operations Quality Analyst - Remote,Press Ganey,United States,,,,,,,,
Academic Program Scheduler,National Education Partners,United States,,,,,,,,
QA Technician,"LanceSoft, Inc.","Roanoke, TX",,,,,1 applicant,Collabera Inc. logo,,
QA Analyst -AUTOMATION,Collabera Inc.,"Dallas, TX",,,,,Dice logo,,,
Salesforce QA,Dice,United States,,,,,Assurant logo,,,
Customer Contact Specialist,Assurant,"Addison, TX",,,,,19 applicants,"LanceSoft, Inc. logo",,
QA Technician,"LanceSoft, Inc.","Roanoke, TX",,,,,0 applicants,Eyemart Express logo,,
Inventory Control Quality Assurance Process Assistant,Eyemart Express,"Dallas, TX",,,,,,,,
Software QA Tester,Dice,United States,,,,,Zuora logo,,,
"Business Systems Analyst, HR & Legal Applications",Zuora,United States,,,,,11 applicants,"Vizient, Inc logo",,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,ebm logo,,,
bswift Implementation Specialist,ebm,United States,,,,,Easy Apply,Eyemart Express logo,,
"Distribution Center Associate (3rd Shift) - Farmers Branch, TX - #998",Eyemart Express,"Dallas, TX",,,,,0 applicants,NearshoreNetworks Inc. logo,,
Field Services Managers – USA & Europe,NearshoreNetworks Inc.,United States,,,,,,,,
Clerical - Document Management Representative,"Fort Worth, TX",On-site,,,,,,,,
Provider Installation Representative - Remote,"Irving, TX",Remote,,,,,,,,
Business Analyst,Texas Capital Bank,"Richardson, TX",,,,,FusionPKG logo,,,
Sample Room Coordinator,FusionPKG,"Dallas, TX",,,,,Easy Apply,Dice logo,,
Test Analyst,Dice,United States,,,,,,,,
Solutions Consultant,Canon USA,"Dallas, TX",,,,,{:companyName} logo,,,
"Logistical Support Admin - Dallas, TX","Dallas, TX",On-site,,,,,,,,
Quality Assurance Associate - Manufacturing,Niagara Bottling,"Dallas, TX",,,,,5 applicants,Clarus Commerce logo,,
Compliance Specialist (Remote - US),Clarus Commerce,United States,,,,,,,,
"Representative, Quality Control","Plano, TX",401(k) benefit,,,,,,,,
QA Test Analyst,"LanceSoft, Inc.","Allen, TX",,,,,ICON plc logo,,,
Learning Management System Analyst,ICON plc,United States,,,,,Southern Glazer&#39;s Wine &amp; Spirits logo,,,
Training Analyst,Southern Glazer's Wine & Spirits,"Dallas, TX",,,,,Welocalize logo,,,
Search Quality Rater - Hindi (must be located in India) [Remote/Freelance],Welocalize,United States,,,,,Dice logo,,,
QA Engineer,Dice,"Dallas, TX",,,,,Siemens logo,,,
Data Visualization Analyst - Manufacturing,Siemens,"Grand Prairie, TX",,,,,McKesson logo,,,
Talent Acquisition Quality Assurance Lead,McKesson,"Irving, TX",,,,,1 month ago,2 applicants,The Ian Martin Group logo,
Data Entry (Covid Testing),The Ian Martin Group,"Denton, TX",,,,,9 applicants,Cognizant logo,,
QA Analyst,Cognizant,"Dallas, TX",,,,,,,,
Quality Assurance Specialist,The Judge Group,"Fort Worth, TX",,,,,0 applicants,AutoNation logo,,
Supplier Resources Data Analyst,AutoNation,"Irving, TX",,,,,Dice logo,,,
QA Consultant,Dice,United States,,,,,Firstsource logo,,,
Quality Analyst,Firstsource,"Dallas, TX",,,,,,,,
Technical Recruiter | Talent Acquisition,CommentSold,United States,,,,,0 applicants,Cable ONE logo,,
Customer Service Representative,Cable ONE,"Sherman, TX",,,,,,,,
SQL DBA,BravoTECH,"McKinney, TX",,,,,,,,
QA Claims Analyst,Burgess,United States,,,,,,,,
Quality Inspection - Level 1 - 2nd Shift,Honeywell,"Arlington, TX",,,,,{:companyName} logo,,,
Loan Operations Quality Control Coordinator I,"Plano, TX",On-site,,,,,,,,
100% REMOTE - LIS Analyst - Sunquest,Medasource,United States,,,,,Easy Apply,BSI Financial Services logo,,
Loan Quality Assurance Analyst,BSI Financial Services,"Irving, TX",,,,,Easy Apply,Collabera Inc. logo,,
Automation Tester,Collabera Inc.,"Dallas, TX",,,,,IDEA Public Schools logo,,,
Testing Coordinator - IDEA Achieve College Prep (Immediate Opening),IDEA Public Schools,"Haltom City, TX",,,,,0 applicants,Forward Game Studios logo,,
QA Analyst - Metaverse,Forward Game Studios,"Dallas, TX",,,,,{:companyName} logo,,,
"Representative, Quality Control (Direct) - US","Plano, TX",On-site,,,,,NextGen Healthcare logo,,,
Database Administrator,NextGen Healthcare,United States,,,,,,,,
QC Laboratory Technician,Manner Polymers,"McKinney, TX",,,,,Easy Apply,Wellpath logo,,
"LPC-Associate - Full Time, Days",Wellpath,"McKinney, TX",,,,,Paycor logo,,,
Shared Services Support Specialist (Remote),Paycor,United States,,,,,,,,
Vulnerability / Penetration Tester,Collabera Inc.,"Irving, TX",,,,,Vesta Healthcare logo,,,
Quality Associate (Remote),Vesta Healthcare,"Dallas, TX",,,,,6 days ago,12 applicants,Paylocity logo,
Implementation Consultant (Benefits),Paylocity,United States,,,,,Dice logo,,,
QA Tester,Dice,United States,,,,,6 applicants,Welocalize logo,,
Somali Freelance Linguistic QA Tester,Welocalize,United States,,,,,,,,
Australian English Part-Time Linguistic QA Tester,Welocalize,United States,,,,,Bank of America logo,,,
Quality Specialist II,Bank of America,"Plano, TX",,,,,,,,
QA Tester,Dice,United States,,,,,0 applicants,"LanceSoft, Inc. logo",,
US_East | Test Analyst_L2,"LanceSoft, Inc.","Frisco, TX",,,,,Southern Glazer&#39;s Wine &amp; Spirits logo,,,
QA Analyst,Southern Glazer's Wine & Spirits,"Addison, TX",,,,,Blockdaemon logo,,,
Delivery Manager,Blockdaemon,United States,,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,Infosys logo,,,
Test Analyst,Infosys,United States,,,,,,,,
"Representative, Deployment - Quality Control","Plano, TX",On-site,,,,,Staffmark Group logo,,,
Payroll Analyst,Staffmark Group,"Plano, TX",,,,,Collabera Inc. logo,,,
QA Analyst - Manual,Collabera Inc.,"Dallas, TX",,,,,,,,
"Representative, Quality Control","Plano, TX",On-site,,,,,Santander Consumer USA logo,,,
"Representative, Process Fulfillment",Santander Consumer USA,"North Richland Hills, TX",,,,,1 applicant,"Recovco Mortgage Management, LLC logo",,
