Position,Company Name,Location,website
CMM Programmer,Actalent,"Bowling Green, KY",http://www.actalentagency.com
Digital Test Lead,ADM,"Erlanger, KY",http://www.adm.com
QA Specialist (Logistics),Ascent Services Group,"Highland Heights, KY",http://www.ascentsg.com
Sr. Consultant - QA Dynamics,Avtex Solutions,"Louisville, KY",http://www.avtex.com
QA Automation Team Lead,Bastian Solutions,"Louisville, KY",http://www.bastiansolutions.com
Software Quality Assurance Lead with Security Clearance,ClearanceJobs,"Paducah, KY",http://www.clearancejobs.com
Test Manager,Cognizant,"Louisville, KY",http://www.cognizant.com
"Supervisor, Transaction Processing",Conduent,"Richmond, KY",http://www.conduent.com
Lead Software Engineer (Java),Covetrus,"Lexington, KY",http://www.covetrus.com
"Manager, Web Engineering",CVS Health,"Frankfort, KY",http://www.cvshealth.com
Software Developer - (C#.NET/Windows/FULLY-Remote),CyberCoders,"Louisville, KY",http://www.cybercoders.com
Quality Analyst Automation Engineer,Deloitte,"Louisville, KY",http://www.deloitte.com
QA- Automation,Dice,"Louisville, KY",http://www.dice.com
Automation Tester,Diverse Lynx,"Louisville, KY",http://www.diverselynx.com
Software Quality Engineer,eBlu Solutions,"Kentucky, KY",http://www.eblusolutions.com
Quality Engineer/ Sr. Quality Engineer,Emerson,"Russellville, KY",http://www.emerson.edu
SDET - Mobile,eTeam,"Louisville, KY",http://www.eteaminc.com
Cybersecurity Manager - Application Security - DevSecOps - Open Location,EY,"Louisville, KY",http://www.ey.com
Quality Assurance Engineer,Fidelity Investments,"Covington, KY",http://www.fidelity.com
Full Stack Engineer,Fidelity TalentSource,"Covington, KY",http://www.fidelitytalentsource.com
Senior Application Developer - Database,FLEETCOR,"Lexington, KY",http://www.fleetcor.com
Technical Lead,HCL Technologies,"Anderson, KY",http://www.hcltech.com
Quality & Records Coordinator,HDR,"Louisville, KY",http://www.hdrinc.com
Quality Co Op,Hendrickson,"Somerset, KY",http://www.hendrickson-intl.com
Salesforce QA,"Hire IT People, Inc","Louisville, KY",http://www.hireitpeople.com
"Senior Associate, Software Engineering",KPMG US,"Louisville, KY",http://www.home.kpmg
AWS Cloud Security Engineer 2,Humana,"Louisville, KY",http://www.humana.com
Sr. API Analyst/Developer,INXEPTION,"Louisville, KY",http://www.inxeption.com
QMS Administrator,Kelly,"Berea, KY",http://www.kellyservices.com
QA Intern,KFC,"Louisville, KY",http://www.kfc.com
Automation Tester,Kforce Inc,"Louisville, KY",http://www.kforce.com
Software Testing & Quality Engineer Intern,Kentucky Farm Bureau Mutual Insurance Company,"Louisville, KY",http://www.kyfb.com
