Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
Cognizant,332000,http://www.cognizant.com,http://www.linkedin.com/company/cognizant,61f805fb0d4ff40001b1c0e6
First United Bank,1500,http://www.firstunitedbank.com,http://www.linkedin.com/company/firstunitedbank,61fd51a6ad5cfa0001b690ed
Capital One,57000,http://www.capitalone.com,http://www.linkedin.com/company/capital-one,620176553e1b060001a1fafc
KLM Careers,2,http://www.klm.com,http://www.linkedin.com/company/klm-careers,62334fa73a4be500019b3e5c
(ISC)²,530,http://www.isc2.org,http://www.linkedin.com/company/isc2,623f4e4de7308b0001affb54
CancerIQ,37,http://www.canceriq.com,http://www.linkedin.com/company/cancer-iq-inc-,623f4e4de7308b0001affb64
Gerber Life Insurance Company,340,http://www.gerberlife.com,http://www.linkedin.com/company/gerber-life-insurance-company,623f4e4de7308b0001affb80
Planet Technologies,290,http://www.go-planet.com,http://www.linkedin.com/company/planet-technologies,623f4e4de7308b0001affba3
Accenture,566000,http://www.accenture.com,http://www.linkedin.com/company/accenture,620176553e1b060001a1fa99
InfoVision Inc.,1200,http://www.infovision.com,http://www.linkedin.com/company/infovision,620176553e1b060001a1fba1
OscarMike,16,http://www.oscarmike.org,http://www.linkedin.com/company/oscar-mike-foundation,62152ff5a2911b0001910177
Nelnet Community Engagement,29,http://www.nelnet.com,http://www.linkedin.com/company/nelnetintl,6220ffabc86ebf0001db59e1
Get Real Health,31,http://www.getrealhealth.com,http://www.linkedin.com/company/get-real-health,622234fa11146f000118e3bc
"Levi, Ray & Shoup, Inc. (LRS)",780,http://www.lrs.com,http://www.linkedin.com/company/lrs,622234fa11146f000118e403
Phyton Talent Advisors,75,http://www.phytontalent.com,http://www.linkedin.com/company/phytontalent,6230d2845dc6a70001ba4228
D.A. Davidson Companies,1200,http://www.dadavidson.com,http://www.linkedin.com/company/d-a--davidson-&-co-,623f4e4de7308b0001affb71
Digital Prospectors,97,http://www.digitalprospectors.com,http://www.linkedin.com/company/digital-prospectors,623f4e4de7308b0001affb73
JRD Systems,150,http://www.jrdsi.com,http://www.linkedin.com/company/jrd-systems,623f4e4de7308b0001affb8e
Staffing Technologies,66,http://www.staffingtechnologies.com,http://www.linkedin.com/company/staffing-technologies,623f4e4de7308b0001affbb0
The University of Texas at Dallas,7200,http://www.utdallas.edu,http://www.linkedin.com/company/166681,623f4e4de7308b0001affbb5
UNIFY Financial Credit Union,360,http://www.unifyfcu.com,http://www.linkedin.com/company/unify-financial-credit-union,623f4e4de7308b0001affbba
Fidelity Investments,64000,http://www.fidelity.com,http://www.linkedin.com/company/fidelity-investments,61f9608a66f7f20001ee048a
Hitachi Vantara,"","","",620176553e1b060001a1fb85
UST,3500,http://www.stthomas.edu,http://www.linkedin.com/company/166674,621d00de2e43450001ca4edd
Consolidated Analytics,280,http://www.consolidatedanalytics.com,http://www.linkedin.com/company/consolidated-analytics,622234fa11146f000118e371
EPITEC,670,http://www.epitec.com,http://www.linkedin.com/company/epitec,622234fa11146f000118e387
Patriot Talent Solutions,21,http://www.patriottalent.com,http://www.linkedin.com/company/patriot-talent-solutions,622f86c7d215c800dc20496b
