Position,Company Name,Location,Remote,timestamp
Full-time,*Acts as the liaison with business analysts to develop BI solutions.,Creates and interprets results of analyses from a business perspective.*.,Posted2 days ago·More...,1651164443.386981
Full-time,+1,8 hour shift,Responsive employer,1651164443.386981
Full-time,+1,Analyze business process and design scalable solutions to increase operational maturity/efficiency.,"Communication skills are essential, with an ability to…",1651164443.386981
Full-time,+1,8 hour shift,Responsive employer,1651164443.386981
Full-time,+2,"Experience with business intelligence tools (Tableau, Qlik, PowerBI) preferred.","Support improvement of tools and processes for financial planning, business…",1651164443.386981
Full-time,+2,"Experience with business intelligence tools (Tableau, Qlik, PowerBI) preferred.","Support improvement of tools and processes for financial planning, business…",1651164443.386981
Sr. Business Systems Analyst/Scrum Master,1 Point System,"Dallas, TX",$55 - $60 an hour,1651164443.386981
Technical Business System Analyst,1 Point System,"Dallas, TX",$50 - $60 an hour,1651164443.386981
Full-time,3-5 years of experience in an analytical role in business or marketing.,"To understand key business drivers, then translate the findings into insights and…",Posted27 days ago·More...,1651164443.386981
Full-time,4+ years experience leading project teams or managing business analysts.,Define and maintain business systems roadmap to ensure long-term alignment with…,Posted1 day ago·More...,1651164443.386981
Full-time,4+ years in full-time business analyst capacity.,Assist business users with user acceptance testing.,Create business-related analysis and design deliverables…,1651164443.386981
Full-time,4+ years in full-time business analyst capacity.,"Proficient use of QA testing, business analyst methodologies, system design & analysis.",Posted8 days ago·More...,1651164443.386981
Full-time,5+ years Business Analysis experience on business applications.,Position includes acting as administrator for core business systems.,Posted7 days ago·More...,1651164443.386981
Full-time,8 hour shift,Responsive employer,Urgently hiring,1651164443.386981
Full-time,8 hour shift,Responsive employer,Business analysis: 1 year (Preferred).,1651164443.386981
Full-time,8 hour shift,Urgently hiring,Define configuration specifications and business analysis requirements.,1651164443.386981
Full-time,8 hour shift,The Software Business Analyst will support our SaaS offering by defining business requirements while providing solutions and tools that strengthen business…,EmployerActive 6 days ago·More...,1651164443.386981
Full-time,8 hour shift,Responsive employer,Urgently hiring,1651164443.386981
Full-time,8 hour shift,Urgently hiring,"Works in an Agile environment and continuously reviews the business needs, refines priorities, outlines milestones and deliverables, and identifies…",1651164443.386981
Full-time,8 hour shift,Supervision of profitability of the business.,Work closely with Planning and Strategic Manager to prioritize business and information needs.,1651164443.386981
Business / Pricing Analyst,84 Lumber Company,"Dallas, TX 75212",(Eagle Ford area),1651164443.386981
Project Manager/Business Analyst,A2R Networks,"Houston, TX",$50 - $60 an hour,1651164443.386981
IT Business Analyst (Oil and Gas Industry),A2R Networks,"Houston, TX",$65 - $70 an hour,1651164443.386981
IT Project Business Analyst,A2R Networks,"Dallas, TX",$40 - $60 an hour,1651164443.386981
"Analyst I, Business",ABS,"Houston, TX",Estimated $49.2K - $62.4K a year,1651164443.386981
Business Analyst - Account Reconciliation,AIG,"Houston, TX",+1 location,1651164443.386981
Business Analyst,AMR,"Arlington, TX 76018",(Southeast area),1651164443.386981
Business Analyst - Banking Deposit Software (On-site),ARGO,"Richardson, TX",Estimated $82.1K - $104K a year,1651164443.386981
Business Analyst - Banking Teller Solutions (On-site),ARGO,"Richardson, TX",Estimated $61.6K - $78K a year,1651164443.386981
Business Analyst - Healthcare Software (Onsite),ARGO,"Richardson, TX",Estimated $67.7K - $85.7K a year,1651164443.386981
Supply Chain Business Analyst,ATI (atiserve.com),"Richardson, TX 75080",Estimated $52.8K - $66.8K a year,1651164443.386981
IT Business Analyst - Salesforce Marketing Cloud,Abbott Laboratories,"Austin, TX",Full-time,1651164443.386981
Sr Analyst Business System,Abbvie,"Waco, TX",Full-time,1651164443.386981
Associate Business System Analyst,Abbvie,"Waco, TX",Full-time,1651164443.386981
Full-time,Able to bridge communication between technical areas and business areas for a full and complete understanding of expectations.,Use of standard office equipment.,Posted1 day ago·More...,1651164443.386981
Business Analyst Digital,Academy Sports + Outdoors,"Katy, TX",Full-time,1651164443.386981
Oracle Business System Analyst,Accenture,Remote in Texas,Must be capable of designing solutions to support business requirements.,1651164443.386981
Accenture - REPL WFM Implementation Business Analyst (Consul...,Accenture,"Austin, TX",+10 locations,1651164443.386981
Accenture - REPL WFM Implementation Business Analyst (Consul...,Accenture,"Irving, TX 75039",(Las Colinas Urban Center area),1651164443.386981
Computing & Graphics ISV Business Analyst 1 -149081,"Advanced Micro Devices, Inc.","Austin, TX",+1 location,1651164443.386981
Salesforce Business Analyst,AdvantaClean Corporate,"Hybrid remote in Coppell, TX 75019",Estimated $85.2K - $108K a year,1651164443.386981
Business Analyst,"Agora Data, Inc.","Remote in Arlington, TX 76015","$65,000 - $80,000 a year",1651164443.386981
Business Analyst,Airbus Defense and Space,"Frisco, TX 75034",Estimated $78.1K - $98.9K a year,1651164443.386981
Sr. Business Data Analyst,Airgas Inc.,"Houston, TX 77041",+1 location,1651164443.386981
Business Analyst - Mid: 22-02074,Akraya Inc.,"Austin, TX 78759",(Arboretum area),1651164443.386981
